搞机大师出品,#genre#
关注抖音号,https://vdse.bdstatic.com//0e59c29ddbc68ed60dce8a6f4631c1f1.mp4
35492379515,https://cloud.lxweb.cn/f/9kGLc1/%E6%8C%81%E7%BB%AD%E6%9B%B4%E6%96%B0.mp4
关注公众号,https://cloud.lxweb.cn/f/Oy0NSb/%E5%85%B3%E6%B3%A8%E5%85%AC%E4%BC%97%E5%8F%B7.mp4
搞机大师的藏宝阁,https://cloud.lxweb.cn/f/0glZu0/%E5%8F%AF%E8%83%BD.mp4
关注不迷路,https://pay.haiqu.vip:2266/hls/spsj/2019/12/05/10849/playlist.m3u8
微信号,https://cloud.lxweb.cn/f/Oy0NSb/%E5%85%B3%E6%B3%A8%E5%85%AC%E4%BC%97%E5%8F%B7.mp4
4K8K频道,#genre#
爱上4k,http://111.20.40.170/PLTV/88888893/224/3221226352/index.m3u8
纯享4k,http://39.135.138.58:18890/PLTV/88888888/224/3221225786/index.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
影视4k,http://nas.jdshipin.com:8801/4kys.php
影视4k「移动专属」,http://111.11.123.37:6610/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId=3
Clarity 4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
Love Nrture 4K「自然」,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Fashion 4K「时尚」,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
Astro Super Sport 4K「体育」,http://tvt3.xyz:2095/play/live.php?mac=00:1A:79:00:04:02&stream=348094&extension=ts&play_token=FzoklzfqN1
CCTV8K 测试,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw1981574683_-2118700426/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
8K「IPV6」,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tW1782571424_-1576923679/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8
爱上 4K 「IPV6」•支持回看,http://[2409:8087:7001:20:3::5]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226352/index.m3u8
爱上4K 「IPV6」,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
爱上4K 「IPV6」,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001709/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
